ingredient,reference,proxy_type (1:nutri 2:impact)
fr:petit-epeautre,fr:farine-de-petit-epeautre,
fr:piment-oiseau,en:sweet-peppers,
fr:plantes-aromatiques-deshydratees,en:herbs-and-spices,
fr:pois-chiches-rehydrates,en:chickpea,
fr:pois-chiches-secs-trempes,en:chickpea,
en:red-and-yellow-bell-peppers,en:red-bell-pepper,
fr:pommes-en-poudre,fr:pulpe-de-pomme,
en:gala-apple,en:golden-delicious-apple,
fr:poudre-au-beurre,en:apple,
fr:poudre-de-cacao-cru,en:cocoa-powder,
en:shrimp-powder,en:shrimp-paste,
fr:poudre-de-lait-rehydratee,en:milk,
fr:poudre-de-vinaigre-d-alcool,en:alcohol-vinegar,
fr:poulet-deshydrate,en:chicken-meat,
fr:poulet-traite-en-salaison,fr:poulet-roti-traite-en-salaison,
en:powdered-milk-products,en:dairy,
fr:proteines-de-ble-deshydratees,en:wheat-protein,
fr:proteines-de-ble-partiellement-hydrolysees,en:wheat-protein,
fr:proteines-de-soja-i-p,en:soy-protein-isolate,
fr:proteines-de-soja-texturees,en:soy-protein,
fr:proteines-solubles-de-lait,en:milk-proteins,
fr:proteines-vegetales-rehydratees,en:vegetable-protein,
en:organic-cider-apple-juice,en:cider-apple-juice,
fr:pur-jus-de-pommes-a-cidre-de-bretagne,en:cider-apple-juice,
fr:pur-jus-de-pommes-pressees,en:pure-apple-juice,
fr:puree-d-ananas,en:banana-puree,
fr:puree-de-citron-sucree,en:lemon-puree,
fr:puree-de-framboise-concentree,en:raspberry-puree,
es:pure-de-fruta-de-la-pasion,en:passion-fruit,
fr:puree-de-marrons,fr:marrons-ue,
fr:puree-de-tomates-triple-concentree,en:concentrated-tomato-puree,
fr:purees-de-fruits-a-base-de-concentres,en:fruit,
en:cherry-stem,en:cherry,2
fr:queues-de-crevettes,en:northern-prawn,
fr:quinoa-rouge-precuit,en:red-quinoa,
fr:riz-arborio-long-grain-de-qualite-superieure,en:superior-quality-long-grain-rice,
fr:riz-basmati-cuit,fr:riz-precuit,
fr:riz-basmati-precuit,fr:riz-precuit,
fr:riz-long-italien-etuve,en:parboiled-long-grain-rice,
fr:riz-long-pour-risotto,en:risotto-rice,
fr:riz-pour-risotto-etuve,en:risotto-rice,
fr:riz-riceberry-melange,en:rice,
fr:riz-rond-de-camargue,en:camargue-rice,
fr:riz-thai-long-grain-de-qualite-superieure,en:superior-quality-long-grain-rice,
fr:sang-de-porc,en:pork-meat,
fr:sang-frais-de-porc,en:pork-meat,
fr:sardines-fraiches,en:sardine,
fr:sauce-au-cafe,en:chocolate-sauce,
fr:sauce-tomate-cuisinee,fr:sauce-tomate-cuite,
fr:saucisses-fumees,fr:saucisses-pur-porc-fumees,
fr:sesame-complet,en:sesame,
fr:sirop-d-amidon,en:wheat-syrup,
fr:sirop-d-amidon-de-mais,en:corn-starch,
fr:sirop-de-glucose-de-ble-en-poudre,en:wheat-glucose-syrup,
fr:sirop-de-malt-d-orge-deshydrate,en:dehydrated-glucose-syrup,
fr:sirop-de-sucre-melasse,en:sugar-syrup,
en:partially-inverted-sugar-syrup,en:invert-sugar-syrup,
fr:tomates-entieres-pelees,en:peeled-tomatoes,
fr:tomates-semi-sechees-marinees,en:sundried-tomatoes,
fr:vanille-bourbon-naturelle-en-gousse,en:vanilla,
en:natural-vanilla,en:vanilla,
fr:vermicelle-de-pois-rehydrate,fr:vermicelle-de-pois,
fr:viande-de-boeuf-en-poudre,en:minced-beef,
fr:yaourt-maigre-en-poudre,fr:lait-maigre-en-poudre,
en:wholemeal-barley,en:wholemeal-barley-flour,
en:beetroot-sugar,en:sugar,
en:berry-blend,en:berries,
en:celery-powder,en:celery-powder,
en:coconut-butter,en:coconut-oil,
en:extra-virgin-coconut-oil,en:coconut-oil,
en:fractionated-coconut-oil,en:coconut-oil,
en:refined-coconut-oil,en:coconut-oil,
en:hydrogenated-coconut-oil,en:coconut-oil,
en:cooked-chicken-with-natural-juices,en:chicken,
en:coriander-paste,en:coriander,
en:coriander-powder,en:coriander,
en:crunchy-peanut-butter,en:peanut-butter,
en:fractionated-palm-kernel-oil,en:palm-kernel-oil,
en:hydrogenated-palm-kernel-oil,en:palm-kernel-oil,
en:fractionated-palm-oil,en:palm-oil,
en:refined-palm-oil,en:palm-oil,
en:mediterranean-salt,en:salt,
en:non-gmo-sunflower-lecithin,en:sunflower-lecithin,
en:non-hydrogenated-olive-oil,en:olive-oil,
en:refined-olive-oil,en:olive-oil,
en:pasteurized-skimmed-cow-s-milk,en:skimmed-milk,
en:pitted-olive,en:olive,
en:raw-cream,en:cream,
en:reconstituted-milk-powder,en:milk-powder,
en:red-apple,en:apple,
en:refined-vegetable-oil,en:vegetable-oil,
en:rice-flakes,en:rice,
en:scottish-salmon,en:salmon,
en:skimmed-cows-milk,en:skimmed-milk,
en:skimmed-milk-soft-cheese,en:soft-cheese,
en:spaghetti,en:pasta,
en:tagliatelle,en:pasta,
en:whole-cow-s-milk-powder,en:whole-milk-powder,
en:wholemeal-cereal-flakes,en:whole-grain-oat-flakes,
fr:blanc-d-oeuf-en-poudre-de-poules-elevees-au-sol,en:powdered-egg-white,
en:british-cream,en:cream,
en:cured-cheese,en:cheese,
en:double-cream,en:cream,
en:fortified-british-wheat-flour,en:wheat-flour,
en:fully-hydrogenated-canola-oil,en:canola-oil,
en:fully-hydrogenated-vegetable-oils,en:vegetable-oils,
en:green-apple,en:apple,
en:hydrogenated-palm-fat,en:palm-fat,
en:liquid-egg,en:egg,
en:mixed-fruit,en:fruit,
en:monterey-jack,en:cheese,
en:non-gmo-canola-oil,en:canola-oil,
en:non-hydrogenated-rapeseed-oil,en:rapeseed-oil,
en:non-hydrogenated-vegetable-suet,en:vegetable-oil,
en:partially-hydrogenated-vegetable-fat,en:vegetable-oil,
en:partially-hydrogenated-soybean-oil,en:soya-oil,
en:pink-salt,en:salt,
en:shortening,en:vegetable-shortening,
en:whole-grain-khorasan-flour,en:khorasan-wheat-flour,
en:whole-grain-teff-flour,en:teff,
en:whole-green-pea-flour,en:green-peas,
en:kalamon-olive,en:olive,
en:uht-cream,en:cream,
en:pasteurized-skimmed-milk,en:skimmed-milk,
en:semolina-flour,en:semolina,
fr:jus-de-raisin-rouge,en:grape-juice,
fr:citron-confit,en:lemon,
en:vinegar-gherkin,en:gherkin,
en:concentrated-white-grape-juice,en:grape-juice,
en:italian-pepper,en:pepper,
en:pardina-lentils,en:lentils,
en:bramley-apple-puree,en:apple-puree,
en:risoni,en:pasta,
fr:vin-cremant-de-loire-aop,en:wine,
en:hydrogenated-vegetable-oil,en:vegetable-oil,
en:pear-juice,en:pear,
en:brown-mustard-seed,en:mustard-seed,
en:yeast-extract-powder,en:yeast,
en:salt-from-ile-de-re,en:salt,
en:california-seedless-raisins,en:grape,
en:swiss-cheese,en:cheese,
en:british-beef,en:beef,
en:rockfish,en:fish,
en:white-cheddar,en:cheddar,
fr:lentilles-rouges-decortiquees,en:lentils,
en:skimmed-cocoa-powder,en:cocoa-powder,2
fr:yogourt-au-lait-pasteurise,en:yogurt,
en:blue-stilton,en:cheese,
en:non-gmo-corn-starch,en:corn-starch,
en:skimmed-milk-soft-cheese,en:cheese,
fr:fromage-frais-au-lait-pasteurise,en:soft-cheese,
en:british-potato,en:potato,
fr:chair-de-poisson,en:fish,
fr:vin-de-france,en:wine,
fr:filets-de-maquereaux-espagnols,en:chub-mackerel,
en:bramley-apple,en:apple,
en:pecorino,en:sheep-s-milk-cheese,
en:stewed-pork,en:pork,
fr:viande-et-gras-de-porc,en:pork,
en:saltwater-fish,en:fish,
en:canola-oil-preparation,en:canola-oil,
en:spice-paste,en:spice,
en:lancashire-cheese,en:cheese,
en:fine-salt-from-guerande,en:salt,
fr:pain-special-cuit,en:bread,
fr:fromage-au-lait-de-vache-bio-thermise,en:cheese,
de:weissmehl,en:flour,
en:meatball,en:meat,
en:muscadet,en:wine,
en:whole-cane-sugar,en:cane-sugar,
de:gekochte-maronen,en:chesnut,
fr:marrons-entiers,en:chesnut,
en:refined-salt,en:salt,
en:refined-vegetable-oil,en:vegetable-oil,
fr:blanc-de-calmars,en:squid,
en:creme-fraiche,en:cream,
en:black-eyed-pea,en:red-beans,
en:dried-kidney-beans,en:red-beans,
fr:haricots-chevriers-verts,en:red-beans,
en:british-pork,en:pork,
fr:farine-mi-blanche,en:flour,
fr:lait-de-vache-thermise,en:milk,
fr:fromage-a-pate-pressee-cuite,en:cheese,
fr:viande-de-boeuf-mise-en-oeuvre,en:beef-meat,
en:cabernet-franc,en:wine,
fr:gambas-cuites,en:shrimp,
en:meat-preparation,en:meat,
fr:pulpe-de-homard,en:lobster,
en:unrefined-salt,en:salt,
en:whipping-cream,en:cream,
en:muscovado,en:brown-sugar,
en:vegetable-oil-and-fat,en:vegetable-oil,
en:vegetable-shortening,en:vegetable-oil,
en:sea-salt-flakes,en:salt,
en:british-wholegrain-wheat,en:wheat,
en:white-fish,en:fish,
fr:viande-bovine-halal,en:beaf,
en:red-prawn,en:shrimp,
en:minced-pork,en:pork,
fr:viande-cuisinee,en:meat,
en:fruits-preparation,en:fruit,
fr:melanges-de-miels-d-acacia-originaires-et-non-originaires-de-l-union-europeenne,en:acacia-honey,
es:vinagre-de-alcohol-de-cana,en:alcohol-vinegar,1
en:almond-flour,en:almond,
en:flaked-almonds,en:almond,1
en:raw-almonds,en:almond,1
en:whole-almonds,en:almond,1
la:stolephorus-spp,en:anchovy,
fr:pommes-d-aquitaine,en:apple,
nl:appels-van-biologisch-dynamische-teelt,en:apple,
fr:puree-de-pommes-francaises,en:apple-puree,
en:organic-apricot,en:apricot,1
es:mermelada-de-albaricoque,en:apricot,2
fr:demi-abricots,en:apricot,1
en:apricot-kernels,en:apricot,2
fr:clupea-harengus-peche-en-atlantique-nord,en:atlantic-herring,
en:lardon,en:bacon,1
fr:barde,en:bacon,
en:fresh-yeast,en:baker-s-yeast,1
nl:biologisch-wijnsteenbakpoeder,en:baking-powder,
de:bananenpulver,en:banana,
en:banana-chips,en:banana,
en:banana-flakes,en:banana,1
en:basil-leaf,en:basil,1
fr:riz-basmati-cuit,en:basmati-rice,2
fr:riz-basmati-precuit,en:basmati-rice,2
la:laurus-nobilis,en:bay-leaf,
en:borlotti-bean,en:beans,1
en:cannellini-beans,en:beans,
en:beef-extract,en:beef,1
en:beef-meat,en:beef,1
en:grass-fed-beef,en:beef,1
en:roasted-beef-including-beef-juices,en:beef,
fr:pur-boeuf,en:beef,
fr:sous-produit-du-boeuf,en:beef,
es:cerveza-amstel,en:beer,
en:beetroot-powder,en:beetroot,1
en:beetroot-sprouts,en:beetroot,1
en:beetroot-syrup,en:beetroot,2
en:piquillo-pepper,en:bell-pepper,
fr:fruits-rouges-lyophilises,en:berries,
en:boysenberry,en:berries,2
fr:biscuits-au-beurre,en:biscuit,1
en:concentrated-black-carrot,en:black-carrot,
en:black-carrot-juice,en:black-carrot,2
fr:jus-de-carotte-noire-concentre,en:black-carrot-juice,1
en:kalamata-olive,en:black-olive,1
en:kalamon-olive,en:black-olive,1
en:olive-pate,en:black-olive,1
fr:olives-noires-avec-noyau,en:black-olive,1
fr:olives-noires-confites-entieres,en:black-olive,1
en:black-and-green-pepper,en:black-pepper,1
fr:jus-de-mure-a-base-de-jus-concentre,en:blackberry,2
en:blackcurrant-juice-from-concentrate,en:blackcurrant-juice,2
fr:mytilus-edulis-pechees-en-atlantique-nord,en:blue-mussel,
en:blueberry-juice-from-concentrate,en:blueberry-juice,2
de:heidelbeerpüree-aus-konzentrat,en:blueberry-puree,
fr:quartiers-d-oeufs-durs,en:boiled-egg,
en:bran-flour,en:bran,
de:panade,en:bread-crumbs,1
en:panko,en:bread-crumbs,1
en:vicia-faba,en:broad-bean,
en:cooking-broth,en:broth,2
en:meat-stock,en:broth,2
en:buckwheat-flakes,en:buckwheat,1
en:organic-buckwheat,en:buckwheat,1
en:puffed-buckwheat,en:buckwheat,1
fr:sarrasin-rehydrate,en:buckwheat,1
fr:galette-en-ble-noir,en:buckwheat-flour,
en:pasteurised-buffalo-milk,en:buffalo-milk,1
de:deutsche-markenbutter,en:butter,
en:sweet-cream-butter,en:butter,1
fr:beurre-laitier,en:butter,2
en:rapini,en:cabbage,2
en:unrefined-cane-sugar,en:cane-sugar,1
es:azucar-caramelizado-en-polvo,en:caramelised-sugar,
en:naturally-carbonated-natural-mineral-water,en:carbonated-natural-mineral-water,1
fr:eau-minerale-naturelle-gazeifiee,en:carbonated-natural-mineral-water,2
fr:eau-minerale-naturelle-renforcee-au-gaz-de-la-source,en:carbonated-natural-mineral-water,2
de:karottengranulat,en:carrot,
de:karottenpulver,en:carrot,
en:baby-carrots,en:carrot,1
en:carrot-extract,en:carrot,1
en:orange-carrot,en:carrot,1
en:organic-carrots,en:carrot,1
fr:carottes-en-morceaux,en:carrot,
fr:concentre-d-hibiscus-et-de-carotte,en:carrot,1
fr:concentre-de-carotte,en:carrot,
fr:concentre-de-carotte-et-de-citrouille,en:carrot,
en:concentrated-carrot-juice,en:carrot-juice,1
fr:jus-concentre-de-celeri-et-de-carotte,en:carrot-juice,1
en:cashew-nut-paste,en:cashew-nuts,1
en:raw-cashews,en:cashew-nuts,2
fr:garniture-de-celeri,en:celery,1
en:celery-seed,en:celery,2
en:boletus-edulis,en:cep,1
en:chestnut-mushroom,en:champignon,
en:chard-concentrate,en:chard,
en:medium-mature-cheddar,en:cheddar,
en:vintage-cheddar,en:cheddar,
de:bergkäse,en:cheese,
en:american-cheese,en:cheese,
en:halloumi,en:cheese,
en:jarlsberg,en:cheese,
en:mixed-cheese,en:cheese,
en:red-leicester,en:cheese,
en:stilton,en:cheese,
en:taleggio,en:cheese,
en:vasterbotten-cheese,en:cheese,
en:wensleydale,en:cheese,
fr:base-aromatisante-fromage,en:cheese,
fr:preparation-fromagere,en:cheese,
fr:vacherin-fribourgeois-aop,en:cheese,
en:double-gloucester,en:cheese,2
en:quark,en:cheese,2
en:romano-cheese,en:cheese,2
en:tilsit,en:cheese,2
de:kirschsaft-aus-kirschsaftkonzentrat,en:cherry,
en:cherry-juice,en:cherry,1
en:cherry-puree,en:cherry,1
en:pureed-chestnuts,en:chestnut,1
fr:extrait-de-poulet,en:chicken,1
nl:scharrelkipeiwit,en:chicken-egg-white,
de:hähnchenfilet,en:chicken-fillet,
en:halal-chicken-filet,en:chicken-fillet,1
en:superior-chicken-fillet,en:chicken-fillet,1
de:hähnchenfleisch,en:chicken-meat,
de:hühnerfleischpulver,en:chicken-meat,
en:british-chicken,en:chicken-meat,
en:chicken-cutlet,en:chicken-meat,1
en:cicer-arietinum,en:chickpea,
en:organic-chickpea,en:chickpea,1
en:pedrosillano-chickpeas,en:chickpea,
en:extract-of-chicory,en:chicory,1
en:bird-s-eye-chili,en:chili-pepper,
en:chili-extract,en:chili-pepper,
en:chili-in-vinegar,en:chili-pepper,
en:chilli-flakes,en:chili-pepper,
en:habanero-chili,en:chili-pepper,
en:peri-peri,en:chili-pepper,
en:pimiento,en:chili-pepper,
en:tabasco-chile,en:chili-pepper,
en:allspice,en:chili-pepper,2
en:jalapeno,en:chili-pepper,2
en:chive-seasoning,en:chives,
de:halbbitterschokolade,en:chocolate,
en:chocolate-filling,en:chocolate,1
en:chocolate-powder,en:chocolate,1
en:pure-cocoa-butter-chocolate,en:chocolate,1
en:sugar-free-chocolate-chips,en:chocolate,2
fr:pulpe-de-tomates-avec-morceaux-et-puree-de-tomates,en:chopped-tomatoes,1
en:pink-clam,en:clam,
en:undulate-venus,en:clam,
fr:palourdes-precuites,en:clam,
de:kakao-extrakt,en:cocoa,1
en:cocoa-cream,en:cocoa,2
en:cocoa-fat,en:cocoa-butter,
fr:cacao-cru,en:cocoa,
en:cocoa-processed-with-alkali,en:cocoa,2
en:raw-cacao-butter,en:cocoa-butter,1
en:raw-cacao-powder,en:cocoa-powder,1
es:nectar-del-brote-de-la-flor-del-coco,en:coconut,2
nl:kokosnootwater,en:coconut,2
en:coconut-butter,en:coconut,2
en:organic-coconut-oil,en:coconut-oil,1
fr:huile-de-coco-non-hydrogenee,en:coconut-oil,1
fr:huile-de-noix-de-coco-totalement-hydrogenee-et-non-hydrogenee,en:coconut-oil,1
nl:biologische-kokosbloesem-siroop,en:coconut-sugar,1
en:nata-de-coco,en:coconut-water,
en:natural-coconut-water,en:coconut-water,2
en:lightly-smoked-cod-roe,en:cod,
en:pacific-cod,en:cod,2
en:coffee-beans,en:coffee,1
en:cold-brew-coffee,en:coffee,
en:nescafe-coffee,en:coffee,
en:organic-coffee,en:coffee,1
en:roasted-coffee,en:coffee,1
en:modified-cognac,en:cognac,
en:hydrogenated-colza-oil,en:colza-oil,1
en:organic-colza-oil,en:colza-oil,1
fr:monodiglycerides-de-colza,en:colza-oil,
la:morchella-esculenta,en:common-morel,
en:condensed-semi-skimmed-milk,en:condensed-milk,1
fr:lait-ecreme-concentre-ou-en-poudre,en:condensed-milk,
fr:arome-de-coriandre,en:coriander,
en:corn-fiber,en:corn,2
en:modified-cornflour,en:corn,
fr:mais-torrefie-concasse,en:corn,
nl:maïspoeder,en:corn,
en:corn-molasses,en:corn,2
fr:amidon-modifie-de-mais-visqueux,en:corn-starch,1
fr:amidons-modifies-de-mais-et-de-pomme-de-terre,en:corn-starch,2
en:hydrogenated-cottonseed-oil,en:cottonseed-oil,1
fr:courgettes-en-rondelles,en:courgette,1
fr:chair-de-crabe,en:crab,1
en:sugared-cranberries,en:cranberry,1
la:vaccinium-macrocarpon,en:cranberry,
fr:jus-de-cranberry-a-base-de-concentre,en:cranberry,2
en:red-swamp-crayfish,en:crayfish,2
en:fresh-cream,en:cream,1
en:sterilized-cream,en:cream,1
en:whole-cream,en:cream,1
fr:creme-fraiche-liquide,en:cream,1
fr:extrait-de-crustace,en:crustacean,1
fr:poissons-et-crustaces-mis-en-oeuvre,en:crustacean,1
en:gherkin,en:cucumber,2
en:cucumber-juice-from-concentrate,en:cucumber-juice,1
en:kefir,en:dairy,2
en:dark-chocolate-chunks,en:dark-chocolate,1
en:date-paste,en:date,
en:date-syrup,en:date,2
en:deglet-nour-dates,en:date,
en:medjool-dates,en:date,2
fr:crevettes-tropicale-decortique-crue,en:deep-sea-shrimp,1
en:inactive-dough,en:dough,
en:sourdough,en:dough,2
da:tørrede-æbleskiver,en:dried-apple,
fr:tomates-sechees-rehydratees,en:dried-tomatoes,1
fr:morceaux-de-foie-gras-de-canard,en:duck-liver,2
de:hartweizendunst,en:durum-wheat,
en:freekeh,en:durum-wheat,
en:organic-durum-wheat,en:durum-wheat,1
nl:durum-tarwegriesmeel,en:durum-wheat-semolina,
en:chicken-egg,en:egg,1
en:egg-derivatives,en:egg,
en:eggs-from-switzerland,en:egg,
en:free-range-eggs,en:egg,
en:fresh-egg,en:egg,1
en:pasteurized-liquid-egg,en:egg,1
en:quail-eggs,en:egg,1
en:whole-egg,en:egg,1
es:productos-derivados-de-huevo,en:egg,
fr:oeuf-pasteurise,en:egg,1
en:eggs-yolk-powder-from-free-range-hens,en:egg-yolk-powder,1
en:elderflower,en:elder,
en:elderberry-extract,en:elderberry,1
fr:concentre-de-sureau,en:elderberry,
en:emmental-from-france,en:emmental,
en:coffee-cream,en:cream,2
es:aceite-de-oliva-virgen-extra-de-lubrin,en:extra-virgin-olive-oil,
en:hydrogenated-fat,en:fat,1
en:milkfat,en:fat,1
en:shortening,en:fat,2
en:organic-fennel,en:fennel,1
en:fenugreek-leaf,en:fenugreek,2
de:gemahlen-bockshornkleesamen,en:fenugreek-seed,
en:fig-paste,en:fig,
es:higos-pajarero,en:fig,
de:leinsaat-geschrotet,en:flax-seed,
en:flax-flour,en:flax-seed,1
de:frische-fettarme-milch,en:fresh-milk,
en:fresh-organic-pasteurised-semi-skimmed-milk,en:fresh-milk,1
en:fresh-whole-milk,en:fresh-milk,1
en:glucose-fructose-syrup,en:fructose,1
de:fruktosepulver,en:fructose-syrup,
en:boysenberry-juice,en:fruit-juice,
en:lingonberry-juice,en:fruit-juice,
en:raspberry-juice,en:fruit-juice,1
en:sea-buckthorn-juice,en:fruit-juice,
fi:mansikoista-valmistettu-mehu-ja-viinirypäleet,en:fruit-juice,
en:fruit-juice-concentrate,en:fruit-juice,2
en:lime-juice,en:fruit-juice,2
en:partridge,en:game-animal,
en:deer,en:game-animal,2
de:junge-markerbsen,en:garden-peas,
en:black-garlic,en:garlic,
en:tender-garlic,en:garlic,
fr:ail-et-fines-herbes,en:garlic,
fr:ail-seche,en:garlic,1
en:ginger-juice,en:ginger,
en:ginger-paste,en:ginger,1
en:ginger-puree,en:ginger,1
en:garnacha-grape,en:grape,
en:grape-seeds,en:grape,1
en:grapes-of-other-varieties,en:grape,
en:tempranillo-grape,en:grape,
fi:mansikoista-valmistettu-mehu-ja-viinirypäleet,en:grape,
en:sultanas,en:grape,2
fi:rypäle-ja-vadelmatäysmehu-tiivisteestä,en:grape-juice,
en:concentrated-grape-juice,en:grape-juice,2
en:organic-grape-juice,en:grape-juice,2
fr:ecorces-de-pamplemousse,en:grapefruit,1
fr:jus-de-pamplemousse-a-base-de-concentre,en:grapefruit-juice,2
fr:emmental-francais-rape,en:grated-emmental-cheese,1
es:esparragos-verdes-sin-pelar,en:green-asparagus,
en:green-and-red-lentils,en:green-lentils,1
en:organic-green-lentils,en:green-lentils,1
fr:lentilles-vertes-du-berry,en:green-lentils,1
fr:lentilles-vertes-du-puy,en:green-lentils,1
fr:lentilles-vertes-precuites,en:green-lentils,1
en:arbequina-olive,en:green-olives,
en:gordal-olive,en:green-olives,
en:green-olives-with-pits,en:green-olives,
en:manzanilla-olive,en:green-olives,
en:patagonian-grenadier,en:hake,1
en:british-ham,en:ham,
en:smoked-ham-with-natural-juices,en:ham,
pt:presunto,en:ham,
en:chopped-hazelnuts,en:hazelnut,1
fr:noisettes-avec-peau,en:hazelnut,1
en:herring-fillets,en:herring,1
en:honey-powder,en:honey,
es:miel-de-cana,en:honey,
fr:cafe-soluble-lyophilise,en:instant-coffee,1
en:invert-cane-sugar,en:invert-sugar,1
en:iodised-sea-salt,en:iodised-salt,1
en:baby-kale,en:kale,
en:saccharina-japonica,en:kombu,
en:lamb-gut,en:lamb,1
en:lamb-meat,en:lamb,1
de:magerquarkpulver,en:lean-stern,
de:lauchpulver,en:leek,
en:brown-beans,en:legume,1
en:flageolets,en:legume,1
en:soya-bean,en:legume,1
nl:veldbonen,en:legume,1
en:lemon-marmalade,en:lemon,2
en:lemon-oil,en:lemon,2
en:lemon-scent,en:lemon,2
fr:extrait-naturel-de-citron,en:lemon,
fr:jus-concentre-pulpe-de-citron,en:lemon,1
de:orangeschalenextrakt,en:orange-zest,1
fr:creme-fraiche-legere-epaisse,en:light-cream,1
en:lingonberry-juice,en:lingonberry,
en:amaretto,en:liqueur,
en:chocolate-liqueur,en:liqueur,
en:sherry,en:liqueur-wine,
fr:riz-basmati-long-grain-naturellement-parfume,en:long-grain-basmati-rice,
en:superior-quality-long-grain-white-rice,en:long-grain-white-rice,1
es:lichis-deshuesados,en:lychee,
en:caramelized-wheat-malt-flour,en:malted-wheat-flour,
es:oleomargarina-bovina,en:margarine,1
en:chili-mayonnaise,en:mayonnaise,
en:harissa-mayonnaise,en:mayonnaise,
en:beef-meat,en:beef,1
en:black-botifarra,en:meat,
en:lamb-meat,en:lamb,1
fi:kokolihavalmiste,en:meat,
fi:ruokamakkara,en:meat,
en:goat-meat,en:meat,2
en:horse-meat,en:meat,2
en:venison,en:meat,2
fr:melons-confits,en:melon,
en:melon-seed,en:melon,2
en:melted-powdered-cheese,en:melted-cheese,1
de:joghurt-mild-mit-magermilchpulverzusatz,en:mild-yogurt,1
de:speisequarkzubereitung,en:mild-yogurt,1
en:semi-skimmed-mild-yogurt,en:mild-yogurt,1
en:skimmed-mild-yogurt,en:mild-yogurt,1
de:käsereimilch,en:milk,
en:cow-s-milk,en:milk,1
en:haymilk,en:milk,1
en:milk-solids,en:milk,
en:raw-milk,en:milk,1
nl:vloeibare-melkbestanddelen,en:milk,
en:buffalo-milk,en:milk,2
fr:lait-de-montagne,en:milk,2
fr:lait-ecreme-concentre-ou-en-poudre,en:milk-powder,
en:natural-mineral-water,en:mineral-water,2
en:melado,en:molasses,
fr:morilles-sechees,en:morels,
la:morchella-conica,en:morels,
en:fairy-ring-mushroom,en:mushroom,
en:horn-of-plenty,en:mushroom,
en:kikurage-mushroom,en:mushroom,
en:mixed-mushrooms,en:mushroom,
en:mushroom-powder,en:mushroom,
en:pholiota,en:mushroom,
en:slippery-jack,en:mushroom,
en:truffle,en:mushroom,
en:yellow-foot,en:mushroom,
fr:chanterelles,en:mushroom,
en:cep,en:mushroom,2
en:dark-cep,en:mushroom,2
en:dried-cep,en:mushroom,2
en:oyster-mushroom,en:mushroom,2
en:pine-bolete,en:mushroom,2
en:portobello,en:mushroom,2
en:shiitake,en:mushroom,
en:straw-mushroom,en:mushroom,2
en:summer-cep,en:mushroom,2
en:weeping-bolete,en:mushroom,2
en:wood-ear,en:mushroom,2
fr:moules-glazurees,en:mussel,
fr:morceaux-de-nougat,en:nougat,
en:oat-milk,en:oat,
en:whole-grain-oats,en:oat,1
en:whole-grain-rolled-oats,en:oat,1
en:oat-oil,en:oat,2
nl:haverzemelen-met-kiem,en:oat-bran,
en:gluten-free-oat-fibre,en:oat-fibre,
en:marine-oil,en:oil,1
en:olive-pomace-oil,en:olive-oil,
en:organic-olive-oil,en:olive-oil,1
en:black-olive,en:olives,2
de:zwiebeln-gegrillt,en:onion,1
en:fresh-onions,en:onion,1
en:onion-puree,en:onion,1
en:onion-sproute,en:onion,
en:rehydrated-onion,en:onion,1
en:white-onion,en:onion,1
fr:oignons-coupes,en:onion,1
fr:oignons-rissoles,en:onion,
fr:oignon-fume-en-poudre,en:onion,2
en:eating-orange,en:orange,
en:orange-marmalade,en:orange,1
fr:oranges-pressees,en:orange-juice,
fr:jus-d-orange-et-autres-agrumes-a-base-de-concentres,en:orange-juice,2
fr:lait-de-vache-bio-thermise,en:organic-milk,2
en:palm-olein,en:palm-oil,1
en:palm-stearin,en:palm-oil,1
en:sustainable-palm-oil,en:palm-oil,
en:palm-and-rapeseed,en:palm-oil-and-fat,1
en:palm-fat,en:palm-oil-and-fat,1
fr:riz-pour-risotto-etuve,en:parboiled-rice,1
fr:riz-basmati-precuit,en:parboiled-rice,2
fr:parmigiano-reggiano-aop,en:parmesan,
en:parsley-leaf,en:parsley,1
nl:peterseliewortel,en:parsley,
de:pastinakenpulver,en:parsnip,
en:concentrated-passion-fruit-juice,en:passion-fruit-juice,2
en:durum-wheat-semolina-pasta,en:pasta,1
en:linguine,en:pasta,
en:penne,en:pasta,
fr:canneloni,en:pasta,
fr:melange-de-pates-alimentaires-cuisinees,en:pasta,
fr:pates-alimentaires-aux-oeufs-cuites,en:pasta,
en:lasagne,en:pasta,2
en:fresh-organic-pasteurised-semi-skimmed-milk,en:pasteurised-milk,1
sv:högpastöriserad-mjölk,en:pasteurised-milk,
sv:lågpastöriserad-mjölk,en:pasteurised-milk,
sv:opastöriserad-mjölk,en:pasteurised-milk,
en:peach-juice,en:peach,1
en:pitted-peach,en:peach,
en:saturn-peach,en:peach,
fr:demi-peches,en:peach,
en:peanut-with-shell,en:peanut,1
en:shelled-peanuts,en:peanut,1
fr:pignons-de-pin-decortiques,en:pine-nuts,1
la:nucleus-pineus,en:pine-nuts,
la:pinus-sibirica,en:pine-nuts,
en:pineapple-syrup,en:pineapple,2
en:concentrated-pineapple-juice,en:pineapple-juice,2
fr:pate-de-pistache,en:pistachio-nuts,1
fr:pistaches-en-coques,en:pistachio-nuts,2
fr:ecorces-de-grenade,en:pomegranate,2
en:organic-pomegranate-juice,en:pomegranate-juice,2
fr:pur-jus-de-grenade,en:pomegranate-juice,2
