ingredient,reference,proxy_type (1:nutri 2:impact)
de:trockenhefe,en:yeast,
en:alaskan-pollock-fillet,en:alaska-pollock,
en:e433,en:vegetable-oil,
en:ground-hazelnuts,en:hazelnut,
en:selected-lactic-ferments,en:ferment,
fr:olives-vertes-denoyautees,en:green-olives,
fr:levain-de-seigle-devitalise,en:sourdough,
en:aspic,en:plant,
fr:tomates-pelees-concassees-au-jus,en:crushed-peeled-tomato,
en:soy-flakes,en:soya,
en:fat-reduced-cocoa,en:fat-reduced-cocoa-powder,
en:lithothamnium-calcareum,en:algae,
en:bourbon-vanilla-natural-flavouring,en:vanilla,
en:e1101,en:enzyme,
en:collagen,en:protein,
en:mirabelle-plum,en:prune,
en:natural-casing,fr:boyau-naturel-de-porc,
fr:sorbitols-et-glycerol,en:e420,
en:maltose,en:sugar,
en:sheeps-casing,fr:boyau-naturel-de-porc,
en:koji,en:ferment,
en:hazelnut-praline,en:praline,
en:precooked-pasta,en:cooked-pasta,
en:apple-fiber,en:wheat-bran,1
en:apple-fiber,en:apple,2
fr:champignon-noir-rehydrate,en:mushroom,
en:madeira,en:liqueur-wine,
fr:fibre-de-carotte,en:wheat-bran,
fr:ferments-d-affinage,en:ferment,
en:smoked-bacon,en:bacon,
en:marinade,en:sauce,
en:tea,en:plant,
en:brandy,en:liqueur-wine,
fr:proteines-de-petit-lait,en:protein,1
fr:proteines-de-petit-lait,en:whey,2
en:soy-protein-isolate,en:protein,1
fr:aiguillettes-de-poulet,en:chicken-meat,
en:bourbon-vanilla-powder,en:bourbon-vanilla,
de:hirseflocken,en:millet,
de:hydrolysiertes-schweineprotein,en:hydrolysed-pea-protein,1
de:joghurtpulver,en:yogurt,2
de:kakao-extrakt,en:cocoa,2
de:lactobacillus-helveticus,en:lactobacillus-bulgaricus,
de:orangeschalenextrakt,en:orange-extract,
de:sauerteig-getrocknet,en:sourdough,
en:acai-berry,en:cranberry,1
en:acai-juice,en:juice,1
en:algae-concentrate,en:algae,
en:animal,en:meat,
en:animal-protein,en:protein,1
en:animal-protein,en:meat,2
en:arabica-coffee-extract,en:coffee-extract,
en:basil-extract,en:basil,
en:beef-protein,en:protein,1
en:beef-protein,en:beef,2
en:blaack-thai-rice,en:black-rice,
en:black-and-white-pepper,en:black-pepper,
en:blend-of-eu-and-non-eu-honeys,en:blend-of-non-eu-honey,
en:blend-of-honeys,en:honey,
en:animal-protein,en:protein,1
en:bloody-milk-cap,en:mushroom,
en:bourbon-vanilla-beans,en:bourbon-vanilla,
en:brewer-s-yeast,en:baker-s-yeast,
en:brewing-water,en:brewer-s-yeast,
en:butter-natural-flavouring,en:butter,
en:cabernet,en:grape,
en:calvados,en:armagnac,
en:cane-invert-syrup,en:cane-sugar-syrup,
en:capsicum-extract,en:chili-pepper,
en:caramel-sauce,en:caramel-syrup,
en:carignan,en:grape,
en:carnaroli-rice,en:rice,
en:category-a-eggs,en:egg,
en:ceylon-black-tea,en:black-tea,
en:ceylon-green-tea,en:green-tea,
en:chardonnay,en:grape,
en:chasselas,en:cassia,
en:chilean-mussel,en:blue-mussel,
en:chokeberry-juice,en:chokeberry,
en:cider-vinegar-powder,en:cider-vinegar,2
en:citrus-fruit-extract,en:citrus-fruit,
en:clam-meat,en:clam,
en:clarified-butter,en:butter,
en:cocoa-bean-chips,en:cocoa-bean,
en:coconut-chips,en:coconut,
en:concentrated-celery-juice,en:celery,2
en:concentrated-leek-juice,en:leek,2
en:concentrated-mushroom-juice,en:mushroom,
en:concentrated-pumpkin-juice,en:pumpkin-juice,
en:concentrated-raspberry-juice,en:raspberry-juice,
en:concentrated-raspberry-juice-from-concentrate,en:raspberry-juice,
en:condiment-with-white-balsamic,en:white-balsamic-vinegar,
en:cornflower,en:herb,
en:corvina,en:fish,
en:cupric-citrate,en:cupric-carbonate,
en:d-biotin,en:biotin,
en:dehydrated-soy-protein,en:soy-protein-isolate,
en:dried-aubergine,en:grilled-aubergines,2
en:dried-goji-berries,en:goji,
en:dried-lovage,en:lovage,
en:egg-protein,en:pea-protein,1
en:egg-protein,en:egg,2
en:emmer,en:wheat,
en:emulsifier,en:soya-lecithin,
en:fermented-milk-products,en:dairy,
en:ferric-sodium-diphosphate,en:ferric-diphosphate,
en:finegrained-salt,en:sea-salt,
en:fresh-category-a-eggs,en:egg,
en:fruit-extract,en:fruit,
en:fully-hydrogenated-fat,en:hydrogenated-fat,
en:fully-hydrogenated-vegetable-fat,en:hydrogenated-vegetable-fat,
en:galacto-oligosaccharides,en:fructooligosaccharide,
en:gamay,en:grape,
en:ghee,en:butter,
en:ginger-extract,en:ginger,
en:golden-chanterelle,en:mushroom,
en:grapefruit-flavouring,en:grapefruit,
en:grapefruit-natural-flavouring,en:grapefruit,
en:green-and-black-olives,en:green-olives,
en:ground-vanilla-beans,en:exhausted-ground-vanilla-pod,
en:herb-extract,en:herb,
en:hom-mali-rice,en:rice,
en:european-lobster,en:american-lobster,
en:hydrolised-animal-protein,en:animal-protein,
en:hydrolysed-corn-protein,en:hydrolysed-pea-protein,1
en:hydrolysed-proteins,en:hydrolysed-vegetable-protein,
en:hydrolysed-soy-protein,en:soy-protein,
en:hydrolyzed-wheat-protein,en:hydrolysed-vegetable-protein,
en:juniper,en:juniper-berry,
en:kasha,en:buckwheat,
en:kiwi-juice,en:kiwi,
en:kosher-salt,en:salt,
en:lactobacillus-acidophilus,en:lactobacillus-bulgaricus,
en:lactobacillus-casei,en:lactobacillus-bulgaricus,
en:lactobacillus-lactis,en:lactobacillus-bulgaricus,
en:lactose-powder,en:lactose,
en:large-eggs,en:egg,
